team,group,manager,qualification_path,confederation,scouting_note
Czechia,A,Miroslav Koubek,European play-off winner,UEFA,Physical European side with set-piece threat.
Mexico,A,Javier Aguirre,Host,Concacaf,Group A host; opening match in Mexico City.
South Africa,A,Hugo Broos,Direct qualifier,CAF,Experienced Belgian coach; compact tournament profile.
South Korea,A,Hong Myung-bo,Direct qualifier,AFC,High-tempo Asian contender with elite defensive talent.
Bosnia and Herzegovina,B,Sergej Barbarez,European play-off winner,UEFA,Direct attacking threat and emotional tournament return.
Canada,B,Jesse Marsch,Host,Concacaf,"Host nation with pace, pressing, and wide transition threat."
Qatar,B,Julen Lopetegui,Direct qualifier,AFC,Asian champion pedigree with possession structure.
Switzerland,B,Murat Yakin,Group winner,UEFA,Reliable tournament operator with defensive balance.
Brazil,C,Carlo Ancelotti,Direct qualifier,CONMEBOL,Elite attacking talent with a trophy-level manager profile.
Haiti,C,Sebastien Migne,Direct qualifier,Concacaf,Underdog Concacaf qualifier with transition upside.
Morocco,C,Mohamed Ouahbi,Direct qualifier,CAF,High defensive structure and strong full-back profile.
Scotland,C,Steve Clarke,Group winner,UEFA,"Organized, direct, and difficult to play through."
Australia,D,Tony Popovic,Direct qualifier,AFC,Physical tournament team with aerial and set-piece value.
Paraguay,D,Gustavo Alfaro,Direct qualifier,CONMEBOL,Compact defensive side with strong match-management profile.
Turkiye,D,Vincenzo Montella,European play-off winner,UEFA,Young technical attackers with high-variance upside.
United States,D,Mauricio Pochettino,Host,Concacaf,Host nation with athletic midfield and young core.
Cote d'Ivoire,E,Emerse Fae,Direct qualifier,CAF,Powerful squad profile with AFCON-winning recent identity.
Curacao,E,Dick Advocaat,Direct qualifier,Concacaf,Historic qualifier with experienced management.
Ecuador,E,Sebastian Beccacece,Direct qualifier,CONMEBOL,"Defensive base, athletic midfield, and strong qualifier record."
Germany,E,Julian Nagelsmann,Group winner,UEFA,Elite talent pool and progressive tactical structure.
Japan,F,Hajime Moriyasu,Direct qualifier,AFC,Deep technical squad and strong recent tournament results.
Netherlands,F,Ronald Koeman,Group winner,UEFA,Elite defensive spine and controlled buildup.
Sweden,F,Graham Potter,European play-off winner,UEFA,Technical attacking rebuild with strong forward options.
Tunisia,F,Sabri Lamouchi,Direct qualifier,CAF,Organized North African side with tournament discipline.
Belgium,G,Rudi Garcia,Group winner,UEFA,Experienced generation transition with elite creators.
Egypt,G,Hossam Hassan,Direct qualifier,CAF,Salah-led attack with high counterattacking value.
IR Iran,G,Amir Ghalenoei,Direct qualifier,AFC,Experienced Asian side with veteran forwards.
New Zealand,G,Darren Bazeley,Direct qualifier,OFC,OFC winner with direct attacking reference points.
Cabo Verde,H,Pedro Bubista,Direct qualifier,CAF,Debutant profile with compact squad identity.
Saudi Arabia,H,Georgios Donis,Direct qualifier,AFC,Transition-minded side with recent World Cup upset pedigree.
Spain,H,Luis de la Fuente,Group winner,UEFA,Possession-heavy elite side with strong midfield control.
Uruguay,H,Marcelo Bielsa,Direct qualifier,CONMEBOL,Aggressive pressing and elite midfield intensity.
France,I,Didier Deschamps,Group winner,UEFA,World-class depth and proven knockout tournament management.
Iraq,I,Graham Arnold,Play-Off Tournament winner,AFC,Play-off qualifier with disciplined tournament coach profile.
Norway,I,Stale Solbakken,Group winner,UEFA,Haaland/Odegaard star power with improving depth.
Senegal,I,Pape Thiaw,Direct qualifier,CAF,"Physical, experienced African contender."
Algeria,J,Vladimir Petkovic,Direct qualifier,CAF,Experienced coach with strong technical attackers.
Argentina,J,Lionel Scaloni,Direct qualifier,CONMEBOL,Defending champion profile with elite game-state management.
Austria,J,Ralf Rangnick,Group winner,UEFA,Pressing identity and strong recent European form.
Jordan,J,Jamal Sellami,Direct qualifier,AFC,First-time qualifier with compact counterattacking profile.
Colombia,K,Nestor Lorenzo,Direct qualifier,CONMEBOL,Strong recent form and balanced attacking profiles.
DR Congo,K,Sebastien Desabre,Play-Off Tournament winner,CAF,Full FIFA squad data is available; scouting note can be customized later.
Portugal,K,Roberto Martinez,Group winner,UEFA,Deep attacking squad and strong technical control.
Uzbekistan,K,Fabio Cannavaro,Direct qualifier,AFC,First-time qualifier with rising defensive talent.
Croatia,L,Zlatko Dalic,Group winner,UEFA,Veteran tournament side with elite midfield control.
England,L,Thomas Tuchel,Group winner,UEFA,Elite squad depth with high tactical ceiling.
Ghana,L,Carlos Queiroz,Direct qualifier,CAF,Experienced World Cup coach with defensive tournament expertise.
Panama,L,Thomas Christiansen,Direct qualifier,Concacaf,Improved Concacaf side with structured possession.
